junction_id,connection_id,issue,detail
1069,5,connector_start_pose_mismatch,3.499999
1069,5,connector_end_pose_mismatch,3.5
1070,4,connector_start_pose_mismatch,3.499999
1070,4,connector_end_pose_mismatch,3.5
1070,7,connector_start_pose_mismatch,3.5
1070,7,connector_end_pose_mismatch,3.5
1071,2,connector_start_pose_mismatch,3.5
1071,2,connector_end_pose_mismatch,3.5
1071,5,connector_start_pose_mismatch,3.5
1071,5,connector_end_pose_mismatch,3.5
1072,2,connector_start_pose_mismatch,3.5
1072,2,connector_end_pose_mismatch,3.5
1073,0,connector_start_pose_mismatch,3.5
1074,9,connector_start_pose_mismatch,3.499999
1074,9,connector_end_pose_mismatch,3.5
1075,6,connector_start_pose_mismatch,3.5
1075,6,connector_end_pose_mismatch,3.5
106,2,connector_start_pose_mismatch,3.5
106,2,connector_end_pose_mismatch,3.5
106,5,connector_start_pose_mismatch,3.5
106,5,connector_end_pose_mismatch,3.5
106,8,connector_start_pose_mismatch,3.5
106,8,connector_end_pose_mismatch,3.5
1076,4,connector_start_pose_mismatch,3.5
1076,4,connector_end_pose_mismatch,3.5
1076,7,connector_start_pose_mismatch,3.5
1076,7,connector_end_pose_mismatch,3.5
1077,2,connector_start_pose_mismatch,3.5
1077,2,connector_end_pose_mismatch,3.5
1078,5,connector_start_pose_mismatch,3.5
1078,5,connector_end_pose_mismatch,3.5
1078,8,connector_start_pose_mismatch,3.500001
1078,8,connector_end_pose_mismatch,3.5
1079,4,connector_start_pose_mismatch,3.5
1079,4,connector_end_pose_mismatch,3.5
1080,4,connector_start_pose_mismatch,3.5
1080,4,connector_end_pose_mismatch,3.5
1083,6,connector_start_pose_mismatch,3.5
1083,6,connector_end_pose_mismatch,3.5
107,5,connector_start_pose_mismatch,3.5
107,8,connector_start_pose_mismatch,3.5
107,8,connector_end_pose_mismatch,3.500001
1086,2,connector_start_pose_mismatch,3.500001
1086,2,connector_end_pose_mismatch,3.499999
1086,7,connector_start_pose_mismatch,3.500001
1086,7,connector_end_pose_mismatch,3.5
1087,9,connector_start_pose_mismatch,3.5
1087,9,connector_end_pose_mismatch,3.5
1089,3,connector_start_pose_mismatch,3.5
1089,3,connector_end_pose_mismatch,3.5
1089,4,connector_end_pose_mismatch,3.5
1089,6,connector_start_pose_mismatch,3.499999
1089,9,connector_start_pose_mismatch,3.499999
1089,9,connector_end_pose_mismatch,3.5
1090,2,connector_start_pose_mismatch,3.5
1090,2,connector_end_pose_mismatch,3.500001
1090,3,connector_end_pose_mismatch,3.5
1090,7,connector_start_pose_mismatch,3.499999
1090,7,connector_end_pose_mismatch,3.5
1091,2,connector_start_pose_mismatch,3.5
1091,2,connector_end_pose_mismatch,3.5
1092,3,connector_start_pose_mismatch,3.5
1092,3,connector_end_pose_mismatch,3.5
1093,3,connector_start_pose_mismatch,3.5
1093,3,connector_end_pose_mismatch,3.5
108,1,connector_start_pose_mismatch,3.500001
1095,2,connector_start_pose_mismatch,3.5
1095,2,connector_end_pose_mismatch,3.5
1095,7,connector_start_pose_mismatch,3.5
1095,7,connector_end_pose_mismatch,3.500001
1096,4,connector_start_pose_mismatch,3.5
1096,4,connector_end_pose_mismatch,3.5
1096,7,connector_start_pose_mismatch,3.5
1096,7,connector_end_pose_mismatch,3.499999
1097,2,connector_start_pose_mismatch,3.5
1097,2,connector_end_pose_mismatch,3.5
1097,7,connector_start_pose_mismatch,3.5
1097,7,connector_end_pose_mismatch,3.5
1099,1,connector_end_pose_mismatch,3.5
1100,4,connector_start_pose_mismatch,3.5
1100,4,connector_end_pose_mismatch,3.5
1100,7,connector_start_pose_mismatch,3.5
1100,7,connector_end_pose_mismatch,3.5
1101,4,connector_start_pose_mismatch,3.5
